"Country","Region","FreeParties"
"United States","North America","0.891678735807031"
"Canada","North America","0.713455382830264"
"Cuba","Latin America/Caribbean","0.128229861079111"
"Haiti","Latin America/Caribbean","0.579834923641226"
"Dominican Republic","Latin America/Caribbean","0.584666084469176"
"Jamaica","Latin America/Caribbean","0.665073272476022"
"Trinidad and Tobago","Latin America/Caribbean","0.700748555077256"
"Barbados","Latin America/Caribbean","0.679180074893663"
"Mexico","Latin America/Caribbean","0.604615792639154"
"Guatemala","Latin America/Caribbean","0.584805737335232"
"Honduras","Latin America/Caribbean","0.568677192894302"
"El Salvador","Latin America/Caribbean","0.706254928121414"
"Nicaragua","Latin America/Caribbean","0.39080263935308"
"Costa Rica","Latin America/Caribbean","0.749128433583456"
"Panama","Latin America/Caribbean","0.688147886788313"
"Colombia","Latin America/Caribbean","0.737137647691927"
"Venezuela","Latin America/Caribbean","0.381362265589134"
"Ecuador","Latin America/Caribbean","0.65767790912863"
"Peru","Latin America/Caribbean","0.655462420137618"
"Brazil","Latin America/Caribbean","0.698319649933809"
"Bolivia","Latin America/Caribbean","0.559509581201114"
"Paraguay","Latin America/Caribbean","0.614367870700476"
"Chile","Latin America/Caribbean","0.785562011135913"
"Argentina","Latin America/Caribbean","0.747303159035861"
"Uruguay","Latin America/Caribbean","0.753904892508017"
"United Kingdom","Europe","0.672864517139673"
"Ireland","Europe","0.75024525572759"
"Netherlands","Europe","0.695478550052023"
"Belgium","Europe","0.65773259319931"
"Luxembourg","Europe","0.688604776317283"
"France","Europe","0.697651946420708"
"Switzerland","Europe","0.705125075971301"
"Spain","Europe","0.751598796517945"
"Portugal","Europe","0.715657988040479"
"Germany","Europe","0.710208894247091"
"Poland","Europe","0.730564328123204"
"Austria","Europe","0.711022237284769"
"Hungary","Europe","0.570645638026195"
"Czechia","Europe","0.67971436712823"
"Slovakia","Europe","0.724236452273039"
"Italy","Europe","0.781184830413417"
"Albania","Europe","0.594387056601125"
"North Macedonia","Europe","0.593465913645765"
"Croatia","Europe","0.621689633247193"
"Serbia","Europe","0.502970796627397"
"Bosnia and Herzegovina","Europe","0.584909082775647"
"Kosovo","Europe","0.604358466288449"
"Slovenia","Europe","0.708513313458128"
"Greece","Europe","0.782485311303755"
"Cyprus","Europe","0.700729845552035"
"Bulgaria","Europe","0.642104657977511"
"Moldova","Europe","0.663527873707047"
"Romania","Europe","0.680403375357132"
"Russia","Europe","0.394954883495379"
"Estonia","Europe","0.673317257799467"
"Latvia","Europe","0.69154308686821"
"Lithuania","Europe","0.682863759623623"
"Ukraine","Europe","0.463795603362314"
"Belarus","Europe","0.402237593777483"
"Armenia","Europe","0.648496150409891"
"Georgia","Europe","0.633647241953167"
"Azerbaijan","Europe","0.372106595069285"
"Finland","Europe","0.744692168643582"
"Sweden","Europe","0.793998234500898"
"Norway","Europe","0.686025475609394"
"Denmark","Europe","0.77876803272407"
"Iceland","Europe","0.713773331854782"
"Cape Verde","Africa","0.704970473984883"
"Guinea-Bissau","Africa","0.571832081319265"
"Equatorial Guinea","Africa","0.326087644434046"
"Gambia","Africa","0.607593842363865"
"Mali","Africa","0.594628198872676"
"Senegal","Africa","0.577022960395536"
"Benin","Africa","0.540231052263445"
"Mauritania","Africa","0.422272859180528"
"Niger","Africa","0.618153467058848"
"Cote d'Ivoire","Africa","0.557697833389297"
"Guinea","Africa","0.517523927736779"
"Burkina Faso","Africa","0.576602022000385"
"Liberia","Africa","0.662376377382619"
"Sierra Leone","Africa","0.580257163564203"
"Ghana","Africa","0.668916019074114"
"Togo","Africa","0.449848556921045"
"Cameroon","Africa","0.481667269012718"
"Nigeria","Africa","0.602429241134624"
"Gabon","Africa","0.483326959470743"
"Central African Republic","Africa","0.504511801355264"
"Chad","Africa","0.487536291858716"
"Republic of Congo","Africa","0.442033594611827"
"Democratic Republic of the Congo","Africa","0.47086545697622"
"Uganda","Africa","0.509621899469766"
"Kenya","Africa","0.567009451965883"
"Tanzania","Africa","0.518683102116187"
"Burundi","Africa","0.343827098862486"
"Rwanda","Africa","0.337995890194566"
"Somalia","Africa","0.415700858362636"
"Ethiopia","Africa","0.437868286169394"
"Eritrea","Africa","0.0995017071414548"
"Angola","Africa","0.518414235339809"
"Mozambique","Africa","0.592735746142699"
"Zambia","Africa","0.497645245084489"
"Zimbabwe","Africa","0.52689995300411"
"Malawi","Africa","0.529274005059594"
"South Africa","Africa","0.623901837347538"
"Namibia","Africa","0.568019151236392"
"Lesotho","Africa","0.584817965629153"
"Botswana","Africa","0.654709860917345"
"Eswatini","Africa","0.17223382877424"
"Madagascar","Africa","0.60772868399975"
"Mauritius","Africa","0.743721651892438"
